sku,codigo_barras,nome,marca,categoria,conteudo_embalagem,unidade,preco_custo,preco_venda,estoque_inicial,estoque_minimo,tipo,ativo,status_conferencia,fonte
EAN-7898958547059,7898958547059,Cerveja leopoldina,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898958547059
EAN-7891991009584,7891991009584,Cerveja original,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991009584
EAN-7898605251827,7898605251827,Cerveja puro malte ribeirão lager - lager com casca de laranja,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898605251827
EAN-7896371000007,7896371000007,Cerveja therezopolis gold,,Cervejas,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896371000007
EAN-7891121155006,7891121155006,Gin london dry silver seagers garrafa 750ml,,Destilados,750 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121155006
EAN-7891121203004,7891121203004,Licor creme cacau stock garrafa 720ml,,Destilados,720 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121203004
EAN-7891121219005,7891121219005,Licor creme cassis stock garrafa 720ml,,Destilados,720 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121219005
EAN-7891121212006,7891121212006,Licor creme chocolate stock garrafa 720ml,,Destilados,720 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121212006
EAN-7891121213003,7891121213003,Licor fino curaçau blue stock garrafa 720ml,,Destilados,720 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121213003
EAN-7891121035001,7891121035001,0000018353 gin com tonica seager s 24x275ml,,Destilados,275 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121035001
EAN-7891121153705,7891121153705,Kit gin silver seagers gfa 750ml,,Destilados,750 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891121153705
EAN-27896008101248,27896008101248,Coquetel vodka barkov 1l frutas verm,,Destilados,1 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/27896008101248
EAN-882202841366,882202841366,Beb.mista schweppes gin tonic pink,Schweppes,Destilados,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/882202841366
EAN-7893218003931,7893218003931,Beb.mista tanqueray gin tonica lt,,Destilados,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7893218003931
EAN-7897297200144,7897297200144,Biscoito champagne di cunto pacote 200g,Bis,Vinhos e espumantes,200 G,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897297200144
EAN-7891962035451,7891962035451,Biscoito champagne com açúcar cristal bauducco caixa 150g,Bis,Vinhos e espumantes,150 G,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891962035451
EAN-7898152996875,7898152996875,Vinagre de vinho branco paganini vidro 500ml,,Vinhos e espumantes,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898152996875
EAN-3280111800004,3280111800004,Vinho francês meio seco sea sun rosé piscine gamay négrette moscatel cahors garrafa 750ml,,Vinhos e espumantes,750 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/3280111800004
EAN-7898950172150,7898950172150,Biscoito champagne tradicional,Bis,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898950172150
EAN-7898968046054,7898968046054,Le vin queijo minas meia cura com vinho,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898968046054
EAN-7898666241201,7898666241201,Geleia de vinho,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898666241201
EAN-7696275983747,7696275983747,Pernil temperado sabor vinho,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7696275983747
EAN-7898366933109,7898366933109,Vinagre de vinho tinto - palmeiron,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898366933109
EAN-7896089325089,7896089325089,Vinagre de vinho tinto peixe,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896089325089
EAN-7897534101180,7897534101180,Vinho bella aurora,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897534101180
EAN-7896620900805,7896620900805,Vinho de mesa tinto suave quinta do carvalho,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7896620900805
EAN-7790240093599,7790240093599,Vinho fino tinto seco altos del condor - merlot,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7790240093599
EAN-7891141026751,7891141026751,Vinho frisante tinto suave,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891141026751
EAN-7802940020482,7802940020482,Vinho tinho carmerère,,Vinhos e espumantes,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7802940020482
EAN-708470223058,708470223058,Energético diet monster absolutely zero lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470223058
EAN-7891991298551,7891991298551,Energético fusion loud garrafa 500ml,Fusion,Energéticos,500 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991298551
EAN-708470220224,708470220224,Energético juice monster khaos lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470220224
EAN-708470333016,708470333016,Energético juice monster mango loco lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470333016
EAN-1220000250031,1220000250031,Energético juice monster pacific punch lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/1220000250031
EAN-708470348034,708470348034,Energético lemon monster dragon ice tea lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470348034
EAN-708470220156,708470220156,Energético monster lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470220156
EAN-708470222068,708470222068,Energético monster ultra lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470222068
EAN-609963191239,609963191239,"Energético natural hibisco, cranberry e morango green up lata 269ml",Bis,Energéticos,269 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/609963191239
EAN-708470339292,708470339292,Energético ultra violet zero açúcar monster lata 473ml,Monster,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/708470339292
EAN-7898080662668,7898080662668,Energético baly garrafa 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080662668
EAN-7898080662262,7898080662262,Energético baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080662262
EAN-7898080663733,7898080663733,Energético baly lata 473ml,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080663733
EAN-815154021104,815154021104,Energético burn garrafa 1l,,Energéticos,1 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/815154021104
EAN-815154021203,815154021203,Energético burn lata 260ml,,Energéticos,260 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/815154021203
EAN-7898080664563,7898080664563,Energético maçã verde baly garrafa 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664563
EAN-7898080664570,7898080664570,Energético maçã verde baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664570
EAN-7898080664815,7898080664815,Energético maçã verde zero açúcar baly lata 473ml,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664815
EAN-7898080664846,7898080664846,Energético manga baly summer loko lata 473ml,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664846
EAN-7898080664372,7898080664372,Energético melancia baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664372
EAN-7898080664402,7898080664402,Energético melancia baly lata 473ml leve mais pague menos,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664402
EAN-7898080664839,7898080664839,Energético melancia zero açúcar baly lata 473ml,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664839
EAN-7898080664990,7898080664990,Energético morango e pêssego das galáxias baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664990
EAN-609963191222,609963191222,"Energético natural camu camu, acerola e cúrcuma green up lata 269ml",,Energéticos,269 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/609963191222
EAN-609963191208,609963191208,"Energético natural capim santo, limão e hortelã green up lata 269ml",,Energéticos,269 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/609963191208
EAN-7898080664891,7898080664891,Energético tangerina baly garrafa 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664891
EAN-7898080664907,7898080664907,Energético tangerina baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664907
EAN-7898080664112,7898080664112,Energético tropical baly garrafa 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664112
EAN-7898080664037,7898080664037,Energético tropical baly lata 250ml,,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664037
EAN-7898080664273,7898080664273,Energético tropical baly lata 473ml,,Energéticos,473 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898080664273
EAN-7898275251073,7898275251073,Energético tsunami garrafa 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898275251073
EAN-9002490240875,9002490240875,Red bull coco 250ml,Red Bull,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/9002490240875
EAN-9002490250270,9002490250270,Red bull pitaya 250ml,Red Bull,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/9002490250270
EAN-9002490258825,9002490258825,Red bull summer 250ml,Red Bull,Energéticos,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/9002490258825
EAN-7897395031626,7897395031626,Energético tnt original,TNT,Energéticos,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7897395031626
EAN-7898132846862,7898132846862,Energético flying house 2l pitaya,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898132846862
EAN-7898132844493,7898132844493,Energético flying house 2l tradicional,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898132844493
EAN-7898961176727,7898961176727,Energético tsunami mango pepper 2l,,Energéticos,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898961176727
EAN-3016031088075,3016031088075,Monster energético,Monster,Energéticos,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/3016031088075
EAN-9002490214166,9002490214166,Red bull® energy drink,Red Bull,Energéticos,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/9002490214166
EAN-7898158492425,7898158492425,Energético birthday cake,,Energéticos,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898158492425
EAN-7898377662050,7898377662050,Energético zero açúcares maçã verde,,Energéticos,,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7898377662050
EAN-7894900184402,7894900184402,Água tônica limão com toque de sal schweppes lata 220ml,Schweppes,Refrigerantes,220 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900184402
EAN-7894900301755,7894900301755,"Água tônica schweppes garrafa 1,5l",Schweppes,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900301755
EAN-7894900303407,7894900303407,Água tônica schweppes garrafa 250ml,Schweppes,Refrigerantes,250 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900303407
EAN-7894900360394,7894900360394,Água tônica zero açúcar schweppes lata 220ml,Schweppes,Refrigerantes,220 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900360394
EAN-7895144208442,7895144208442,"Bala fanta laranja mentos pacote 37,5g",Fanta,Refrigerantes,37.5 G,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7895144208442
EAN-7891118025688,7891118025688,Bala guaraná antarctica poosh pacote 150g,Guaraná Antarctica,Refrigerantes,150 G,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891118025688
EAN-7894900911756,7894900911756,"Kuat garrafa pet 1,5 l",Kuat,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900911756
EAN-7894900011326,7894900011326,Pack refrigerante coca cola original lata 6 unidades 350ml cada leve mais pague menos,Coca-Cola,Refrigerantes,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900011326
EAN-7892840812386,7892840812386,"Pepsi garrafa pet 1,5 l",Pepsi,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840812386
EAN-7892840802714,7892840802714,Pepsi twist garrafa pet 2 l,Pepsi,Refrigerantes,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840802714
EAN-7891991301695,7891991301695,Refrigerante acerola guaraná antarctica lata 350ml,Guaraná Antarctica,Refrigerantes,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991301695
EAN-7894900025019,7894900025019,Refrigerante café espresso coca cola lata 220ml,Coca-Cola,Refrigerantes,220 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900025019
EAN-7891991301732,7891991301732,Refrigerante cajá guaraná antarctica lata 350ml,Guaraná Antarctica,Refrigerantes,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991301732
EAN-7894900321753,7894900321753,"Refrigerante citrus schweppes garrafa 1,5l",Schweppes,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900321753
EAN-7894900027488,7894900027488,Refrigerante coca cola coca s/acucar lv pg pet 2l 7894900027488,Coca-Cola,Refrigerantes,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900027488
EAN-7894900011715,7894900011715,Refrigerante coca cola garrafa 1l,Coca-Cola,Refrigerantes,1 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900011715
EAN-7894900011593,7894900011593,"Refrigerante coca cola garrafa 2,5l embalagem econômica",Coca-Cola,Refrigerantes,2.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900011593
EAN-7894900011517,7894900011517,Refrigerante coca cola garrafa 2l,Coca-Cola,Refrigerantes,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900011517
EAN-7894900011753,7894900011753,"Refrigerante coca cola original garrafa 1,5l",Coca-Cola,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900011753
EAN-7894900027020,7894900027020,"Refrigerante coca cola original garrafa 2,5l embalagem econômica",Coca-Cola,Refrigerantes,2.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900027020
EAN-7894900027013,7894900027013,Refrigerante coca cola original garrafa 2l,Coca-Cola,Refrigerantes,2 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900027013
EAN-7894900027037,7894900027037,Refrigerante coca cola original garrafa 3l embalagem econômica,Coca-Cola,Refrigerantes,3 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7894900027037
EAN-7892840800567,7892840800567,Refrigerante cola pepsi garrafa 200ml,Pepsi,Refrigerantes,200 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840800567
EAN-7892840800604,7892840800604,Refrigerante cola pepsi garrafa 3l,Pepsi,Refrigerantes,3 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840800604
EAN-7892840813130,7892840813130,Refrigerante cola pepsi lata 269ml,Pepsi,Refrigerantes,269 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840813130
EAN-7892840820664,7892840820664,"Refrigerante cola zero açúcar pepsi black garrafa 1,5l",Pepsi,Refrigerantes,1.5 L,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7892840820664
EAN-7891991301671,7891991301671,Refrigerante cupuaçu guaraná antarctica lata 350ml,Guaraná Antarctica,Refrigerantes,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991301671
EAN-7891991301633,7891991301633,Refrigerante erva mate guaraná antarctica lata 350ml,Guaraná Antarctica,Refrigerantes,350 ML,UN,,,0,0,PRODUTO,SIM,CONFERIR EMBALAGEM,https://world.openfoodfacts.org/product/7891991301633
